employee_id,employee_code,first_name,last_name,email,phone,date_of_birth,gender,hire_date,department_id,position_id,salary,status
1,EMP001,John,Smith,john.smith@company.com,555-0101,1985-03-15,Male,2020-01-15,1,5,95000.00,Active
2,EMP002,Sarah,Johnson,sarah.johnson@company.com,555-0103,1990-07-22,Female,2020-03-20,1,1,85000.00,Active
3,EMP003,Michael,Brown,michael.brown@company.com,555-0105,1988-11-08,Male,2020-06-10,1,2,70000.00,Active
4,EMP004,Emily,Davis,emily.davis@company.com,555-0107,1992-04-30,Female,2021-01-05,1,3,80000.00,Active
5,EMP005,David,Wilson,david.wilson@company.com,555-0109,1987-09-12,Male,2021-02-15,1,4,75000.00,Active
6,EMP006,Jennifer,Taylor,jennifer.taylor@company.com,555-0111,1986-12-03,Female,2020-02-01,2,6,80000.00,Active
7,EMP007,Christopher,Anderson,christopher.anderson@company.com,555-0113,1991-05-18,Male,2020-04-12,2,7,60000.00,Active
8,EMP008,Amanda,Martinez,amanda.martinez@company.com,555-0115,1993-08-25,Female,2021-03-08,2,8,55000.00,Active
9,EMP009,Robert,Garcia,robert.garcia@company.com,555-0117,1984-01-20,Male,2020-01-10,3,9,90000.00,Active
10,EMP010,Lisa,Rodriguez,lisa.rodriguez@company.com,555-0119,1989-06-14,Female,2020-05-22,3,10,65000.00,Active
11,EMP011,James,Miller,james.miller@company.com,555-0121,1990-10-07,Male,2021-01-18,3,11,55000.00,Active
12,EMP012,Michelle,Lee,michelle.lee@company.com,555-0123,1987-02-28,Female,2020-03-15,4,12,85000.00,Active
13,EMP013,Daniel,White,daniel.white@company.com,555-0125,1992-11-11,Male,2020-07-08,4,13,60000.00,Active
14,EMP014,Jessica,Clark,jessica.clark@company.com,555-0127,1991-04-05,Female,2021-02-12,4,14,65000.00,Active
15,EMP015,Thomas,Lewis,thomas.lewis@company.com,555-0129,1986-08-16,Male,2020-04-05,5,15,80000.00,Active
16,EMP016,Nicole,Hall,nicole.hall@company.com,555-0131,1993-01-23,Female,2020-06-20,5,16,50000.00,Active
17,EMP017,Kevin,Young,kevin.young@company.com,555-0133,1989-12-09,Male,2020-08-14,5,17,65000.00,Active
18,EMP018,Rachel,King,rachel.king@company.com,555-0135,1988-03-17,Female,2020-05-10,6,18,70000.00,Active
19,EMP019,Steven,Wright,steven.wright@company.com,555-0137,1990-07-29,Male,2021-01-25,6,19,55000.00,Active
20,EMP020,Laura,Lopez,laura.lopez@company.com,555-0139,1983-05-12,Female,2020-02-28,7,20,110000.00,Active
21,EMP021,Ryan,Hill,ryan.hill@company.com,555-0141,1985-09-03,Male,2020-04-18,7,21,85000.00,Active
22,EMP022,Ashley,Scott,ashley.scott@company.com,555-0143,1987-12-19,Female,2020-07-30,7,22,90000.00,Active
23,EMP023,Brandon,Green,brandon.green@company.com,555-0145,1991-06-08,Male,2020-08-22,8,23,65000.00,Active
24,EMP024,Stephanie,Adams,stephanie.adams@company.com,555-0147,1992-10-15,Female,2020-09-05,8,24,50000.00,Active
